ensembl_gene_id	mgi_symbol	gene_biotype
ENSMUSG00000058017	Serpinb3d	protein_coding
ENSMUSG00000073602	Serpinb3b	protein_coding
ENSMUSG00000073601	Serpinb3c	protein_coding
ENSMUSG00000026327	Serpinb11	protein_coding
ENSMUSG00000067001	Serpinb7	protein_coding
ENSMUSG00000062345	Serpinb2	protein_coding
ENSMUSG00000026315	Serpinb8	protein_coding
ENSMUSG00000026312	Cdh7	protein_coding
ENSMUSG00000047216	Cdh19	protein_coding
ENSMUSG00000038702	Dsel	protein_coding
ENSMUSG00000070695	Cntnap5a	protein_coding
ENSMUSG00000094429	Gm19965	protein_coding
ENSMUSG00000100265	Gm28363	protein_coding
ENSMUSG00000101303	B020011L13Rik	protein_coding
ENSMUSG00000100305	Gm28360	protein_coding
